"","V1","V2","V3"
"232","Democratic Left","1997","80229"
"233","Euroleft Coalition","1997","80320"
"234","Union of Democratic Forces","1991","80410"
"235","United Democratic Forces","2001","80411"
"236","Citizens for European Development of Bulgaria","2013","80510"
"237","Democrats for a Strong Bulgaria","2005","80610"
"238","Order, Law and Justice","2009","80620"
"239","Will","2017","80640"
"240","Bulgarian Agrarian National Union","1990","80810"
"241","People’s Union","1994","80811"
"242","Bulgarian Agrarian People’s Union - Alexandar Stambolijski","1994","80812"
"243","Bulgarian Business Bloc","1995","80901"
"244","Movement for Rights and Freedoms","2001","80951"
"245","Union of National Salvation","1997","80952"
"246","Patriotic Coalition","2015","81061"
"247","Green Action of Split","1990","81112"
"248","Croatian Social-Liberal Party","1993","81410"
"249","Liberal Party","2001","81411"
"250","Coalition of People’s Accord","1990","81420"
"251","Croatian Independent Democrats","1995","81430"
"252","People's Party - Reformists","2015","81450"
"253","Bridge of Independent Lists","2015","81460"
"254","Croatian Democratic Union","2001","81711"
"255","Croatian Party of Rights","1997","81713"
"256","Croatian Peasant Party","2000","81810"
"257","Joint List Bloc","1995","81899"
"258","Serbian People’s Party","1992","81951"
"259","Croatian Democratic Assembly of Slavonia and Baranja","2011","81952"
"260","Democratic Alliance of Rijeka","1992","81955"
"261","Croatian Party of Slavonia and Baranja","1995","81956"
"262","Milan Bandic 365 - The Party of Labour and Solidarity","2015","81961"
"263","Left Bloc","1992","82221"
"264","Civic Forum","1990","82410"
"265","Civic Democratic Alliance","1994","82412"
"266","Civic Democratic Party","2004","82413"
"267","Civic Democratic Party - Christian Democratic Party","1992","82419"
"268","Liberal Social Union","1992","82420"
"269","Freedom Union","1998","82421"
"270","Czechoslovak People’s Party","1990","82520"
"271","Christian Democratic Party","1992","82521"
"272","Christian and Democratic Union - Czech People's Party -  Freedom Union - Democratic Union","2002","82524"
"273","Christian and Democratic Union","1990","82529"
"274","Association for the Republic – Republican Party of Czechoslovakia","1997","82710"
"275","Tomio Okamura's Dawn of Direct Democracy","2013","82720"
"276","Pensioners for a Life Security","1997","82901"
"277","Movement for an Autonomous Democracy - Society for Moravia-Silesia","1991","82951"
"278","Electoral Union ‘Secure Home'","1992","83220"
"279","Estonian Reform Party","2005","83430"
"280","Republican and Conservative People’s Party ‘Right-wingers'","1995","83610"
"281","Union for the Republic","2009","83611"
"282","Electoral Union Pro Patria and Estonian National Independence Party","1995","83709"
"283","National Coalition Pro Patria","1998","83710"
"284","Estonian National Independence Party","1992","83711"
"285","Electoral Union ‘Estonian Citizen'","1992","83712"
"286","Coalition Party","1997","83713"
"287","Coalition Party and Rural Union","1995","83719"
"288","Conservative People's Party of Estonia","2015","83720"
"289","Electoral Union ‘Independent Royalists'","1992","83901"
"290","United Opposition (National Council/Rights)","2008","84041"
"291","Round Table - Free Georgia","1990","84095"
"292","Green Party of Georgia","1992","84110"
"293","Communist Party of Georgia","1990","84220"
"294","Election Bloc ‘Peace’","1992","84221"
"295","Georgian Workers’ Socialist Party","1992","84222"
"296","Social Democratic Party of Georgia","1992","84321"
"297","Citizens’ Union of Georgia","1997","84323"
"298","Charter 91","1992","84411"
"299","Election Bloc ‘Oktober 11’","1992","84421"
"300","‘Unity' Bloc","1992","84422"
"301","All-Georgian Revival Union","1999","84424"
"302","Bloc ‘Progress’","1995","84425"
"303","Political Alliance ‘Support’","1995","84426"
"304","Reformers' Union of Georgia - National Concord","1995","84427"
"305","Industry will save Georgia","2006","84428"
"306","Burjanadze - Democrats Bloc","2003","84430"
"307","New Rights","2003","84431"
"308","Republican Party of Georgia","2008","84440"
"309","Union of God’s Children of Georgia","1992","84521"
"310","Union of Georgian Traditionalists","1993","84710"
"311","National Democratic Party","1993","84711"
"312","Ilia Chavchavadze Society","1992","84712"
"313","Merab Kostava Society","1992","84713"
"314","Union of National Agreement and Revival of Georgia","1992","84714"
"315","Georgian National Independent Party","1992","84715"
"316","Bloc ‘Saakashvili - National Movement’","2008","84716"
"317","Alliance of Patriots of Georgia","2016","84730"
"318","All-Georgian Farmers’ Union","1992","84810"
"319","People’s Friendship and Justice","1992","84951"
"320","German Social Union","1990","85522"
"321","Alliance of Federation of Young Democrats - Hungarian Civic Union - Christian Democratic People's Party","2010","86061"
"322","Federation of Young Democrats","2000","86421"
"323","Alliance of Free Democrats","1998","86422"
"324","FiDeSz-MPP-MDF-Alliance","2000","86429"
"325","Hungarian Democratic Forum","1998","86521"
"326","Christian Democratic People’s Party","1994","86522"
"327","MDF-FiDeSz-MPP-Alliance","1998","86529"
"328","Hungarian Justice and Life Party","1998","86620"
"329","Movement for a Better Hungary","2012","86710"
"330","Independent Smallholders’ Party","1996","86810"
"331","Agrarian Alliance","1990","86811"
"332","Concord Centre","2009","87021"
"333","‘Latvia's First Party' and ‘Latvian Way' Union","2006","87041"
"334","For a Good Latvia","2010","87061"
"335","National Alliance ‘All For Latvia!' – ‘For Fatherland and Freedom - Latvian National Independence Movement'","2011","87071"
"336","Harmony for Latvia - Rebirth of the Economy","1993","87220"
