"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112"
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3099,0,0.0562,0.4303,0.4648,0.2332,1.7603,3.2755,0.0061,0.0186,0.9714,1.5367,0.9952,0.2683,13.6598,0.0084,8.4409,0.1266,1.1261,1.5619,5.3875,2.3019,0.5253,0.1568,0.0456,0.0428,3.138,0.2407,4.371,8.394,0.3831,0.0061,2.7592,0,0.7897,2.7871,1.9172,2.5772,7.4144,0.3405,3.3385,0.0062,0.0031,0.0139,0.9128,0.0271,3.0451,1.2582,1.7919,0.3353,1.4891,0.0156,3.0081,0.65,1.2172,2.5756
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.163,0,5.222,0,0,0,8.7395,0,0,0,0,0,0,0,4.6535,0,16.2605,31.4125,0,0,0,0,0,1.163,14.5295,0,11.039,0,0,0,0,0,0,0,0,1.163,0,0,0,0,0,0,0,4.6535
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908,0,0,1.413,0,0.05,0.757,1.766,0,0,0,2.321,0,0.303,3.128,0,10.949,1.261,0.454,0.959,7.013,2.371,0,0.303,0.252,0,0.605,0.959,7.114,9.788,0.05,0,3.481,0,0.555,6.458,4.087,4.945,9.082,2.22,5.096,0.252,0.757,0,0.05,0,3.481,1.463,0.454,0,0.706,0,2.472,0.303,0,1.413
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120083333333333,0,0,0.720083333333333,0.120083333333333,0.41,7.57825,0.94675,0.0450833333333333,0.563666666666667,3.224,4.4925,0.94,0.0635833333333333,0.487333333333333,0.22525,0.950166666666667,0.0900833333333333,1.11,0.3795,0.42225,4.53675,0,0.670416666666667,0.0750833333333333,0.015,0.111083333333333,0,0.42725,4.61725,0.28525,0.0600833333333333,3.05666666666667,0.445333333333333,1.22225,20.36575,0.363333333333333,4.27191666666667,8.95425,0.150166666666667,1.105,0.015,0.267333333333333,0.27025,12.3710833333333,0.12725,2.51258333333333,4.17325,0.801583333333333,0.03,0.817666666666667,0,0.799583333333333,0.015,1.57083333333333,1.01116666666667
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6092,6.0934,4.5744,3.2184,0,0,0,1.6092,2.712,10.757,0,1.356,0,9.6542,13.9754,1.356,1.6092,4.5744,0,0,0,0,0,7.4494,0,0,1.2658,0,0,5.8402,0,0,4.068,0,4.8274,1.2658,0,8.8054,0,0,0,0,0,0,0.2532,0,0,0.2532,0,0,0,0.2532,0.5064
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579,0.0583333333333333,0.174666666666667,0.625,0,1.04766666666667,0.325,0,0,0,0.722666666666667,1.57333333333333,0.104,0,1.432,0,3.71666666666667,0.489666666666667,0.466333333333333,0.349,1.76533333333333,1.822,0.662333333333333,0,0.0583333333333333,0.174666666666667,0.864,0.174666666666667,0.349,4.318,0,0,0.162333333333333,0,1.292,3.87133333333333,2.445,17.0016666666667,8.74733333333333,2.61666666666667,8.405,1.25,9.39333333333333,2.27666666666667,0.349666666666667,2.136,7.12766666666667,1.15266666666667,0.490333333333333,0.416666666666667,1.83566666666667,0,2.23666666666667,0.511666666666667,0.502,2.43566666666667
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964,0,0,0.55275,0.414,0.2745,2.744,1.24,0,0,3.44125,2.873,3.43075,0,4.693,0,6.74575,6.073,1.78225,3.5715,4.417,4.6735,0,0,0,0,0.82875,0,3.453,6.906,0,0,1.23575,0,0,1.7955,3.9875,3.1755,7.73475,0.138,4.6915,0,0.68575,0,0.2745,0,3.591,1.09925,0.2745,0,0,0,3.31,0.683,0.138,1.3725
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8285,3.19775,4.79025,1.9445,0,0.1405,0.429,0.148,0,0,3.09,2.4285,0.122,0.29575,2.03375,0,4.0155,1.2275,3.6415,0.40325,2.34825,2.411,0.43625,0.122,0.48775,0.4105,0.148,0.244,4.86975,4.45875,1.07625,0,1.5935,0,0,2.17075,2.6695,3.657,11.81375,0,3.19825,0,8.976,0,1.912,0,1.705,1.75225,0,0,1.16825,0,1.68625,1.11675,2.99575,1.11675
